who, fields @timestamp,userIdentity.sessionContext.sessionIssuer.userName,eventName,sourceIPAddress
what users, fields @timestamp,userIdentity.sessionContext.sessionIssuer.userName,eventName,sourceIPAddress
which user, fields @timestamp,userIdentity.sessionContext.sessionIssuer.userName,eventName,sourceIPAddress
What IP, fields @timestamp,userIdentity.sessionContext.sessionIssuer.userName,eventName,sourceIPAddress
what users, fields @timestamp,userIdentity.sessionContext.sessionIssuer.userName,eventName,sourceIPAddress

 ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID | filter userIdentity.arn like "Mike"

What activities were conducted ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What operations were performed  ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What deeds were done  ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What tasks were accomplished  ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What movements were made  ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What steps were taken  ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What actions were taken  ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What behaviors were exhibited  ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What initiatives were taken  ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What proceedings were conducted  ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What orders did Mike execute ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What instructions did Mike carry out ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What commands did Mike perform ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What commands did Mike execute ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What commands did Mike obey ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What commands did Mike follow ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What commands did Mike implement ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What commands did Mike activate ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What commands did Mike initiate ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID
What commands did Mike initiate ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID

What did Mike gain access to ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID | filter userIdentity.arn like "Mike"
What did Mike get into ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID | filter userIdentity.arn like "Mike"
What did Mike open ,fields @timestamp, eventSource, userIdentity.sessionContext.sessionIssuer.userName, sourceIPAddress, userAgent, eventName, awsRegion, recipientAccountId,userIdentity.type, userIdentity.principalId, userIdentity.arn userIdentity.accountId, userIdentity.invokedBy, eventID | filter userIdentity.arn like "Mike"
